City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Andrelandia,BR,-21.74,-44.31,51.69,84,89,10.09,overcast clouds
325,Rocha,UY,-34.48,-54.33,43.97,71,0,6.06,clear sky
326,Tukan,RU,53.84,57.46,42.49,98,51,2.48,broken clouds
327,Carhuamayo,PE,-10.92,-76.03,36.07,94,49,1.79,scattered clouds
328,Kahama,TZ,-3.83,32.6,65.25,57,100,10.2,overcast clouds
329,Goderich,CA,43.75,-81.72,81.0,80,94,4.52,overcast clouds
330,Port Lincoln,AU,-34.73,135.87,54.48,52,8,8.9,clear sky
331,Sladkovo,RU,55.53,70.34,53.33,97,100,7.61,overcast clouds
332,Baykit,RU,61.67,96.37,57.36,90,100,1.25,heavy intensity rain
333,Kerema,PG,-7.96,145.78,79.77,81,56,11.5,light rain
334,Georgetown,MY,5.41,100.34,84.2,83,20,3.36,few clouds
335,Manzhouli,CN,49.6,117.43,63.91,72,84,4.43,broken clouds
336,Notre-Dame-Du-Lac,CA,47.61,-68.8,64.4,48,1,3.36,clear sky
337,Aksu,CN,41.12,80.26,74.66,40,0,4.56,clear sky
338,Camana,PE,-16.62,-72.71,60.08,78,81,5.23,broken clouds
339,Pangkalanbuun,ID,-2.68,111.62,82.45,77,52,3.96,broken clouds
340,Popondetta,PG,-8.75,148.25,88.83,54,94,5.99,overcast clouds
341,Yulara,AU,-25.24,130.99,66.2,29,0,11.41,clear sky
342,Sinnamary,GF,5.38,-52.95,78.91,86,0,7.67,clear sky
343,Mwinilunga,ZM,-11.74,24.43,58.33,59,0,6.51,clear sky
344,Vila Franca Do Campo,PT,37.72,-25.43,69.8,83,20,2.24,few clouds
345,Changanacheri,IN,9.47,76.55,76.77,89,94,1.77,overcast clouds
346,Bilibino,RU,68.05,166.44,41.65,88,100,2.95,light rain
347,Plettenberg Bay,ZA,-34.05,23.37,54.07,85,2,7.25,clear sky
348,Malakal,SS,9.53,31.66,73.42,86,0,2.42,clear sky
349,Great Yarmouth,GB,52.61,1.73,61.0,81,78,3.0,broken clouds
350,Villefranche-De-Rouergue,FR,44.33,2.0,59.0,93,6,6.93,clear sky
351,Miyang,CN,24.4,103.44,67.75,87,99,5.03,overcast clouds
352,Yuncheng,CN,35.02,110.99,77.36,69,44,8.9,scattered clouds
353,Otaru,JP,43.19,141.0,75.2,69,20,5.82,few clouds
354,Pasni,PK,25.26,63.47,82.78,86,100,8.48,overcast clouds
355,Mayumba,GA,-3.43,10.66,72.57,89,1,5.3,clear sky
356,Cabatuan,PH,10.88,122.49,84.13,72,100,1.21,light rain
357,Pasighat,IN,28.07,95.33,79.61,79,100,0.87,overcast clouds
358,Yumen,CN,40.28,97.2,72.52,33,0,11.07,clear sky
359,Dukat,RU,62.55,155.55,33.84,93,100,7.09,overcast clouds
360,Kedougou,SN,12.56,-12.17,75.2,94,75,5.86,thunderstorm with light rain
